,1,2,3,4,5,6,B
200,6,5,20,14,13,17,7
201,3,38,39,24,11,44,26
202,39,33,14,12,44,27,17
203,32,3,11,30,1,24,7
204,3,40,14,35,12,45,5
205,29,21,37,3,1,35,30
206,25,2,3,20,1,15,43
207,14,31,32,11,3,37,38
208,34,31,25,44,14,40,24
209,18,24,33,20,2,7,37
210,22,37,23,10,19,25,39
211,17,41,13,20,12,33,8
212,21,38,31,18,11,12,8
213,20,3,24,2,5,4,42
214,25,28,37,7,5,20,32
215,7,2,15,3,44,43,4
216,7,36,16,40,33,17,1
217,39,27,16,35,33,20,38
218,29,14,1,18,8,44,20
219,35,26,4,37,11,20,16
220,11,21,43,19,5,34,31
221,20,2,35,40,37,33,10
222,7,39,43,5,29,28,44
223,18,1,27,20,26,3,38
224,4,42,19,30,27,26,7
225,5,19,31,11,13,36,7
226,21,2,8,14,6,22,34
227,4,22,42,16,5,15,2
228,17,36,25,35,44,39,23
229,5,4,9,11,23,38,35
230,32,33,11,14,5,29,12
231,31,10,44,45,5,19,27
232,9,8,10,12,24,44,35
233,28,4,6,13,40,17,39
234,24,21,13,26,37,22,4
235,27,22,21,37,26,31,8
236,37,39,13,4,1,8,7
237,1,44,17,24,11,21,33
238,4,31,2,28,34,15,35
239,41,44,15,39,24,11,7
240,6,10,41,16,43,40,21
241,2,35,28,24,16,27,21
242,19,4,34,21,32,20,43
243,2,28,42,12,19,17,34
244,38,16,25,36,13,37,19
245,32,9,27,38,31,11,22
246,26,23,21,18,13,39,15
247,28,36,40,15,39,12,13
248,38,45,17,8,3,23,13
249,27,8,44,41,31,3,11
250,23,37,43,30,19,45,38
251,38,25,7,19,6,28,45
252,23,31,45,26,14,39,28
253,34,19,8,25,31,36,33
254,24,1,20,5,30,19,27
255,5,27,6,1,42,24,32
256,14,11,43,4,23,21,32
257,6,31,32,37,27,13,4
258,40,31,27,14,38,30,17
259,14,4,45,35,42,5,34
260,7,24,40,12,15,37,43
261,16,18,43,11,6,31,2
262,31,12,25,24,9,29,36
263,1,32,40,37,28,27,18
264,16,36,9,41,44,27,5
265,5,38,39,37,9,34,12
266,42,3,11,22,4,9,37
267,41,36,7,34,24,8,1
268,24,32,19,45,10,3,12
269,43,5,20,36,18,42,32
270,12,5,21,9,26,20,27
271,40,27,9,8,29,3,36
272,12,9,7,43,39,27,28
273,24,8,44,1,31,34,6
274,35,14,15,26,39,13,25
275,40,14,35,20,19,38,26
276,39,33,4,41,15,21,25
277,12,10,15,29,25,13,20
278,37,41,11,43,39,3,13
279,38,7,31,16,37,36,11
280,37,24,23,11,10,36,35
281,3,1,6,4,41,14,12
282,5,31,18,32,2,10,30
283,31,18,6,38,8,45,42
284,7,15,2,30,24,45,28
285,41,33,40,37,13,45,2
286,19,44,42,1,15,40,17
287,24,12,27,37,6,35,41
288,35,28,1,17,41,12,10
289,3,33,37,14,38,42,10
290,39,32,18,8,45,13,7
291,20,7,42,18,3,8,45
292,34,31,17,18,32,33,10
293,33,29,21,9,17,1,24
294,10,6,17,37,38,30,40
295,38,18,4,1,12,16,8
296,15,30,3,27,45,8,44
297,19,11,6,20,32,28,34
298,5,27,29,9,37,40,19
299,25,45,1,20,36,3,24
300,9,7,26,38,10,12,39
301,13,11,33,37,43,7,26
302,19,13,20,38,32,42,4
303,17,45,38,2,30,14,43
304,26,4,41,10,16,33,38
305,18,39,23,8,21,7,9
306,4,23,41,34,30,18,19
307,25,15,23,21,45,5,12
308,17,45,37,15,19,14,40
309,2,5,11,36,1,18,22
310,19,1,5,34,28,41,16
311,27,12,24,32,4,28,10
312,2,6,5,20,12,3,25
313,35,34,45,17,9,43,2
314,15,19,41,38,17,34,2
315,1,43,33,45,13,35,23
316,11,31,21,27,10,39,43
317,11,36,22,10,3,39,8
318,19,20,34,17,2,45,21
319,42,5,8,28,22,33,37
320,16,23,45,25,19,41,3
321,34,20,18,12,21,25,42
322,38,32,29,18,9,43,20
323,32,15,14,36,42,10,3
324,25,21,33,4,36,2,17
325,45,20,44,7,32,17,33
326,33,39,25,16,23,36,40
327,12,44,13,17,32,6,24
328,1,28,9,16,17,6,24
329,9,35,30,42,17,19,4
330,3,16,19,17,4,20,23
331,4,44,26,31,14,9,39
332,45,17,36,16,34,42,3
333,43,27,39,30,5,14,35
334,21,39,29,15,13,43,33
335,9,16,5,26,23,45,21
336,5,20,34,44,3,35,16
337,37,18,1,14,32,5,4
338,13,42,2,45,34,38,16
339,21,8,6,14,30,37,45
340,26,18,38,24,34,29,32
341,39,1,19,43,8,34,41
342,33,14,13,43,34,1,25
343,31,1,17,10,29,43,15
344,15,28,1,34,2,45,38
345,23,29,42,15,20,39,2
346,14,22,13,5,44,45,33
347,32,27,8,3,42,13,10
348,14,31,24,17,3,20,34
349,5,14,13,25,20,24,36
350,33,29,24,8,18,1,35
351,27,29,25,36,5,34,33
352,17,20,41,16,26,5,24
353,36,16,11,29,19,22,26
354,45,44,36,19,43,14,1
355,35,29,5,30,44,8,38
356,8,29,45,14,2,25,24
357,37,18,10,14,21,36,5
358,21,1,9,12,40,10,37
359,20,1,40,10,24,19,23
360,25,35,40,16,4,23,27
361,24,10,27,16,5,35,33
362,30,2,22,27,3,40,29
363,21,11,14,32,12,38,6
364,2,16,7,5,14,40,4
365,30,5,26,15,21,25,31
366,19,27,44,12,26,5,38
367,25,44,22,29,32,3,19
368,24,11,21,39,45,30,26
369,41,35,20,43,17,36,21
370,45,16,18,24,42,44,17
371,7,9,15,27,26,42,18
372,8,18,16,14,11,21,13
373,45,37,43,26,42,15,9
374,11,17,25,34,13,15,26
375,27,19,4,45,8,25,7
376,40,28,24,11,13,1,7
377,22,6,43,29,45,37,23
378,29,22,39,34,5,31,43
379,35,22,10,31,6,40,19
380,37,1,17,2,8,26,27
381,5,1,12,10,20,16,11
382,15,22,10,42,24,27,19
383,15,4,37,40,33,28,25
384,32,38,36,11,24,22,7
385,7,19,29,12,21,32,9
386,7,10,31,4,40,19,26
387,40,43,26,31,34,1,20
388,29,1,8,17,32,9,45
389,26,18,7,16,20,23,3
390,16,28,17,40,37,39,15
391,11,39,22,28,10,18,30
392,8,1,42,3,24,7,43
393,43,40,28,16,41,9,21
394,20,13,22,28,25,1,15
395,35,15,20,11,31,26,7
396,18,34,45,31,20,40,30
397,25,33,22,17,13,12,8
398,44,15,20,10,23,42,7
399,9,2,42,19,1,17,20
400,34,21,9,43,27,41,2
401,18,43,31,12,6,38,9
402,36,9,15,22,19,5,32
403,28,24,10,14,22,37,26
404,40,33,20,21,24,5,36
405,26,1,10,44,2,25,4
406,12,21,27,7,36,24,45
407,24,13,6,25,16,7,1
408,20,9,30,22,37,21,16
409,32,21,40,9,31,6,38
410,32,40,3,18,1,41,16
411,14,22,11,37,39,35,5
412,41,4,7,39,42,45,40
413,9,40,2,23,15,34,3
414,23,44,22,2,15,14,43
415,20,26,17,7,30,40,24
416,11,26,22,8,6,5,44
417,5,20,14,4,22,43,44
418,11,13,15,26,34,28,31
419,30,13,2,14,28,11,7
420,10,4,9,29,34,31,27
421,6,27,44,28,26,11,30
422,15,44,21,8,34,19,12
423,40,1,17,29,27,28,5
424,34,31,11,10,26,44,30
425,27,10,14,33,38,8,3
426,17,39,4,27,18,43,19
427,30,24,7,6,15,28,21
428,16,37,12,22,40,19,8
429,28,42,3,39,34,23,16
430,18,16,34,3,30,1,44
431,18,38,45,22,25,31,6
432,11,3,5,39,2,27,33
433,29,33,35,19,43,23,27
434,33,13,3,24,37,20,35
435,26,30,16,8,45,38,42
436,22,20,14,34,33,9,28
437,29,11,41,44,16,38,21
438,20,12,29,26,6,38,45
439,40,17,30,31,37,20,25
